index,consumption_good,round,name
1229,11,12,firm95
1230,11,12,firm20
1231,8,12,firm43
1232,7,12,firm74
1233,15,12,firm7
1234,9,12,firm38
1235,11,12,firm69
1236,13,12,firm17
1237,15,12,firm48
1238,15,12,firm87
1239,2,12,firm12
1240,9,12,firm35
1241,13,12,firm66
1242,15,12,firm97
1243,11,12,firm30
1244,8,12,firm61
1245,13,12,firm92
1246,13,12,firm9
1247,12,12,firm40
1248,9,12,firm79
1249,15,12,firm4
1250,13,12,firm27
1251,7,12,firm58
1252,15,12,firm89
1253,13,12,firm22
1254,9,12,firm53
1255,11,12,firm84
1256,11,12,firm1
1257,13,12,firm32
1258,11,12,firm71
1259,7,12,firm19
1260,7,12,firm50
1261,13,12,firm81
1262,8,12,firm14
1263,7,12,firm45
1264,12,12,firm76
1265,15,12,firm99
1266,11,12,firm24
1267,13,12,firm63
1268,15,12,firm94
1269,0,12,firm11
1270,15,12,firm42
1271,15,12,firm73
1272,13,12,firm6
1273,12,12,firm37
1274,11,12,firm68
1275,9,12,firm91
1276,11,12,firm16
1277,15,12,firm55
1278,7,12,firm86
1279,8,12,firm3
1280,11,12,firm34
1281,15,12,firm65
1282,13,12,firm96
1283,11,12,firm29
1284,8,12,firm60
1285,9,12,firm83
1286,6,12,firm8
1287,11,12,firm47
1288,9,12,firm78
1289,15,12,firm26
1290,13,12,firm57
1291,11,12,firm88
1292,5,12,firm21
1293,9,12,firm52
1294,11,12,firm75
1295,8,12,firm0
1296,11,12,firm39
1297,15,12,firm70
1298,7,12,firm18
1299,9,12,firm49
1300,5,12,firm80
1301,10,13,firm13
1302,16,13,firm44
1303,10,13,firm67
1304,10,13,firm98
1305,16,13,firm31
1306,10,13,firm62
1307,10,13,firm93
1308,16,13,firm10
1309,14,13,firm41
1310,10,13,firm72
1311,6,13,firm5
1312,6,13,firm36
1313,10,13,firm59
1314,10,13,firm90
1315,8,13,firm23
1316,10,13,firm54
1317,14,13,firm85
1318,9,13,firm2
1319,8,13,firm33
1320,16,13,firm64
1321,9,13,firm28
1322,4,13,firm51
1323,12,13,firm82
1324,14,13,firm15
1325,16,13,firm46
1326,10,13,firm77
1327,14,13,firm25
1328,14,13,firm56
1329,12,13,firm95
1330,12,13,firm20
1331,7,13,firm43
1332,8,13,firm74
1333,16,13,firm7
1334,10,13,firm38
1335,12,13,firm69
1336,14,13,firm17
1337,16,13,firm48
1338,16,13,firm87
1339,3,13,firm12
1340,10,13,firm35
1341,14,13,firm66
1342,16,13,firm97
1343,12,13,firm30
1344,9,13,firm61
1345,14,13,firm92
1346,14,13,firm9
1347,13,13,firm40
1348,10,13,firm79
1349,16,13,firm4
1350,12,13,firm27
1351,8,13,firm58
1352,16,13,firm89
1353,14,13,firm22
1354,10,13,firm53
1355,12,13,firm84
1356,10,13,firm1
1357,14,13,firm32
1358,10,13,firm71
